Township,HA_Num,HA_Name,HSDA_Num,HSDA_Name,LHA_Num,LHA_Name,Province
100 MILE HOUSE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
103 MILE HOUSE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
105 MILE HOUSE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
108 MILE RANCH,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
122 MILE HOUSE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
127 MILE HOUSE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
141 MILE HOUSE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
150 MILE HOUSE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
70 MILE HOUSE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
93 MILE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
ADAMS LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
AGATE,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
AINSWORTH,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
ALBAS,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
ALBERT CANYON,1,Interior,14,Thompson Cariboo Shuswap,141,Revelstoke,BC
ALEXIS CREEK,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
ALKALI LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
ALKALI LAKE RESERVE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
ALLENBY,1,Interior,13,Okanagan,134,Princeton,BC
ALLISON LAKE,1,Interior,13,Okanagan,134,Princeton,BC
ALMOND GARDENS,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
ANACONDA,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
ANAHAM,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
ANGLEMONT,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
ANNIS BAY,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
APPLEDALE,1,Interior,12,Kootenay Boundary,122,Nelson,BC
APPLEGROVE,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
ARGENTA,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
ARMSTRONG,1,Interior,13,Okanagan,135,Armstrong/Spallumcheen,BC
ARMSTRONG (BC),1,Interior,13,Okanagan,135,Armstrong/Spallumcheen,BC
ARROW CREEK,1,Interior,11,East Kootenay,115,Creston,BC
ARROW PARK,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
ARROWHEAD,1,Interior,14,Thompson Cariboo Shuswap,141,Revelstoke,BC
ASHCROFT,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
ASHTON CREEK,1,Interior,13,Okanagan,139,Enderby,BC
ASPEN GROVE,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
ATHALMER,1,Interior,11,East Kootenay,114,Windermere,BC
AVOLA,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
BAKER,1,Interior,11,East Kootenay,112,Cranbrook,BC
BALFOUR,1,Interior,12,Kootenay Boundary,122,Nelson,BC
BALMORAL,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
BANKEIR,1,Interior,13,Okanagan,134,Princeton,BC
BARRIERE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
BASQUE,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
BASTION BAY,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
BAYNES LAKE,1,Interior,11,East Kootenay,111,Fernie,BC
BEASLEY,1,Interior,12,Kootenay Boundary,122,Nelson,BC
BEATON,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
BEAVER FALLS,1,Interior,12,Kootenay Boundary,125,Trail,BC
BEAVER VALLEY,1,Interior,12,Kootenay Boundary,125,Trail,BC
BEAVERDELL,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
BECHER HOUSE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
BERESFORD,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
BESTWICK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
BIG BAR,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
BIG BAR CREEK,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
BIG CREEK,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
BIG LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
BIG LAKE RANCH,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
BIG WHITE,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
BIG WHITE VILLAGE,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
BILLINGS,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
BIRCH ISLAND,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
BIRCHBANK,1,Interior,12,Kootenay Boundary,125,Trail,BC
BIRCHDALE,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
BLACK PINES,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
BLACKPOOL,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
BLAEBERRY,1,Interior,11,East Kootenay,116,Golden,BC
BLEWETT,1,Interior,12,Kootenay Boundary,122,Nelson,BC
BLEWETT (BC),1,Interior,12,Kootenay Boundary,122,Nelson,BC
BLIND BAY,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
BLUCHER HALL,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
BLUE RIVER,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
BLUE SPRINGS,1,Interior,13,Okanagan,136,Vernon,BC
BLUEBERRY CREEK,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
BOGG LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
BONAPART RESERVE,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
BONAPARTE,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
BONAPARTE LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
BONNINGTON,1,Interior,12,Kootenay Boundary,122,Nelson,BC
BONNINGTON FALLS,1,Interior,12,Kootenay Boundary,122,Nelson,BC
BOSTON FLATS,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
BOSWELL,1,Interior,11,East Kootenay,115,Creston,BC
BOULEAU LAKE,1,Interior,13,Okanagan,136,Vernon,BC
BOUNDARY FALLS,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
BOX LAKE,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
BRALORNE,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
BREXTON,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
BRIDESVILLE,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
BRIDGE LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
BRIDGE RIVER,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
BRIGADE LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
BRILLIANT,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
BRISCO,1,Interior,11,East Kootenay,114,Windermere,BC
BROOKMERE,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
BROUSE,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
BUFFALO CREEK,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
BULL RIVER,1,Interior,11,East Kootenay,112,Cranbrook,BC
BURTON,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
CACHE CREEK,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
CAESARS,1,Interior,13,Okanagan,137,Central Okanagan,BC
CAHILTY,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CAITHNESS,1,Interior,11,East Kootenay,111,Fernie,BC
CAMBORNE,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
CAMP MCKINNEY,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
CANAL FLATS,1,Interior,11,East Kootenay,114,Windermere,BC
CANFORD,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
CANIM LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
CANOE,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
CANOE CREEK,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
CANYON,1,Interior,11,East Kootenay,115,Creston,BC
CANYON HOT SPRINGS,1,Interior,14,Thompson Cariboo Shuswap,141,Revelstoke,BC
CARLIN,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
CARMI,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
CARROLLS LANDING,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
CARRS LANDING,1,Interior,13,Okanagan,137,Central Okanagan,BC
CARSON,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
CASCADE,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
CASINO,1,Interior,12,Kootenay Boundary,125,Trail,BC
CASTLEDALE,1,Interior,11,East Kootenay,116,Golden,BC
CASTLEGAR,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
CAWSTON,1,Interior,13,Okanagan,133,Keremeos,BC
CELISTA,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHAIN LAKE,1,Interior,13,Okanagan,134,Princeton,BC
CHASE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHASM,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
CHAUMOX,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
CHERRY CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHERRY CREEK (INTERIOR),1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
CHERRYVILLE,1,Interior,13,Okanagan,136,Vernon,BC
CHEZACUT,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
